Name,Quantity,Measurement,Ingredient
overnight oats,½,t,vanilla (optional)
overnight oats,topping,of,choice
carrot cake oats,2c,oats,
carrot cake oats,4T,chia,seeds
carrot cake oats,8T,hemp,seeds
carrot cake oats,8T,carrot,
carrot cake oats,2t,cinnamon,
carrot cake oats,1t,ginger,
carrot cake oats,2t,vanilla,
carrot cake oats,4T,maple,syrup
carrot cake oats,1c,Greek,yogurt
carrot cake oats,2,⅔,c vanilla soy milk
tofu scramble,2,blocks,firm tofu
tofu scramble,1,cup,onion
tofu scramble,2T,yeast,
tofu scramble,2t,garlic,powder
tofu scramble,1t,paprika,
tofu scramble,2t,turmeric,
tofu scramble,½,t,pepper
tofu scramble,8,slices,bread
tofu scramble,1,bell,pepper
tofu scramble,2,cups,greens
kristi breakfast burritos,1,block,extra firm tofu
kristi breakfast burritos,1,onion,
kristi breakfast burritos,3,cloves,garlic
kristi breakfast burritos,1c,potato,
kristi breakfast burritos,15,oz,black beans
kristi breakfast burritos,1c,salsa,
kristi breakfast burritos,¼,c,nutritional yeast
kristi breakfast burritos,2t,chili,powder
kristi breakfast burritos,1,½,t cumin
kristi breakfast burritos,1,t,salt
kristi breakfast burritos,¾,t,turmeric
kristi breakfast burritos,½,t,pepper
kristi breakfast burritos,¼,t,cayenne pepper
kristi breakfast burritos,2c,spinach,
tofu breakfast sandwich,1,block,extra firm tofu
tofu breakfast sandwich,1,tomato,
tofu breakfast sandwich,1,avocado,
tofu breakfast sandwich,2T,soy,sauce
tofu breakfast sandwich,2T,water,
tofu breakfast sandwich,2T,oil,
tofu breakfast sandwich,1T,nutritional,yeast
tofu breakfast sandwich,½,t,garlic powder
tofu breakfast sandwich,½,t,onion powder
tofu breakfast sandwich,½,t,turmeric
tofu breakfast sandwich,¼,t,pepper
tofu breakfast sandwich,,,bread
biscuit veggie pot pie,1,can,biscuits
biscuit veggie pot pie,1/4,c,butter
biscuit veggie pot pie,1,,onion
biscuit veggie pot pie,1,,carrots
biscuit veggie pot pie,2,,celery
biscuit veggie pot pie,1,c,mushrooms
biscuit veggie pot pie,3,cloves,garlic
biscuit veggie pot pie,1/3,c,flour
biscuit veggie pot pie,1,t,salt
biscuit veggie pot pie,1/2,t,pepper
biscuit veggie pot pie,1,t,thyme
